Dragon,4.43E+06
Parrot,4.43E+06
Lion,4936802
Bison,7178526
Pelican,11442107
Fox,12913153
Alligator,16458884
Cat,29188425
Alligator,41413592
Sheep,41987342
Alligator,42729857
Bison,44325720
Hare,48705197
Rat,48705197
Parrot,48705197
Anteater,55626620
Lizard,57031217
Bat,63311371
Ant,7.10E+07
Opossum,7.10E+07
Cat,78139840
Anteater,87313894
Ant,88782130
Sheep,99386204
Lizard,99386204
Fox,99386204
Opossum,99386204
Beaver,99386204
Anaconda,99386204
Armadillo,99386204
Cat,99386204
Rat,99386204
Tortoise,99386204
Lemming,99386204
Anteater,99386204
Elephant,99386204
Dog,99386204
Lion,99386204
Lynx,99386204
Raven,99386204
Owl,99386204
Crow,99386204
Otter,99386204
Albatross,99386204
Hare,99386204
Parrot,99386204
Badger,99386204
Bear,99386204
Alligator,99386204
Snake,99386204
Dragon,99386204
Swan,99386204
Magpie,99386204
Goose,99386204
Aardvark,99386204
Crane,99386204
Baboon,99386204
Pelican,99386204
Squirrel,99386204
Porcupine,99386204
Alpaca,99386204
Bat,99386204
Lemming,9.90E+09
Elephant,9.90E+09
Lizard,9.90E+09
Rat,4.60E+16
Beaver,9.37E+22
Cat,9.37E+22
Fox,9.22E+24
Beaver,9.22E+24
Cat,9.22E+24
Dog,9.22E+24
Elephant,9.22E+24
Sheep,9.22E+24
Alligator,9.22E+24
Lion,6.67E+40
Cat,6.67E+40
Elephant,9.60E+47
Alligator,9.60E+47
Cat,3.21E+213
Hare,3.21E+213
Bat,0006b164
Cat,007c38bc
Otter,00af362c
Dog,010bedad
Rat,01c4393b
Alligator,01ed4161
Dog,01f68bb6
Bison,0277b89c
Elephant,02e1f19e
Dog,02e1f19e
Snake,02e1f19e
Sheep,02e1f19e
Cat,037f6782
Badger,03a50fd9
Alligator,03ebc975
Alligator,051ebe0d
Elephant,05606bd4
Cat,05ca61f8
Dog,05ca61f8
Magpie,05ca61f8
Lizard,05ca61f8
Elephant,05ca61f8
Tortoise,05ca61f8
Cat,05d49b6e
Goose,05d49b6e
Squirrel,05d49b6e
Anteater,05d49b6e
Lynx,05d49b6e
Alligator,05d49b6e
Lemming,05d49b6e
Lizard,05dc1d1a
Goose,05dc1d1a
Anteater,05dc1d1a
Tortoise,05dc1d1a
Dog,05dc1d1a
Wallaby,05e79346
Lizard,05f825e9
Ant,05f825e9
Tortoise,05f825e9
Otter,062c6f16
Hare,062c6f16
Cat,062c6f16
Alligator,062c6f16
Elephant,062c6f16
Rat,062c6f16
Lizard,062c6f16
Parrot,062c6f16
Opossum,0694f8bc
Beaver,06cf18fd
Baboon,06cf18fd
Anteater,06cf18fd
Bat,077efcd3
Spider,078483de
Baboon,07f89d97
Opossum,0824636d
Cat,084c116e
Bison,08f1cc3d
Alligator,0a04f216
Opossum,0a1d86d7
Dog,0a1d86d7
Elephant,0a1d86d7
Lemming,0a608cad
Pelican,0a961775
Raven,0ae308df
Ant,0aeb9f6f
Sheep,0b05c3ce
Beaver,0b154726
Elephant,0b154726
Alligator,0b154726
Alligator,0c47965d
Elephant,0cff471c
Opossum,0d043e78
Raven,0d68f7bb
Mongoose,0dce7dee
Otter,0dfcba5b
Elephant,0dfcba5b
Lemming,0dfcba5b
Alligator,0dfcba5b
Albatross,0dfcba5b
Dog,0dfcba5b
Anaconda,0dfcba5b
Rat,0dfcba5b
Goose,0dfcba5b
Anteater,0dfcba5b
Armadillo,0dfcba5b
Parrot,0dfcba5b
Goose,0e8108a2
Hare,0ea8d056
Rat,0ea8d056
Badger,0ea8d056
Cat,0ea8d056
Lion,0ea8d056
Parrot,0ea8d056
Opossum,0edcf84c
Ant,0fea11b3
Sheep,102558db
Anaconda,102d89ee
Opossum,108aebf5
Badger,108aebf5
Badger,10bfbb5d
Bat,1144b742
SeaLion,1179b8df
Badger,11941cdf
Cat,11e489ef
Rat,11e6f80c
Alligator,133a97ab
Alligator,141d9b4c
Lion,1446954b
Cat,1446954b
Sheep,1446954b
Anaconda,1446954b
Bat,144c5cbf
Alligator,14a57f41
Cat,15188aea
Ant,153a4990
Ant,1558b26b
Bat,159a1e85
Cat,15afa9bd
Cat,15b9aa07
Bear,15ceedb8
Lizard,15d6aa85
Rat,161116ed
Cat,161116ed
